ref	word	lemma	morph
Esth 1:1	וַ/יְהִ֖י	c/1961	HC/Vqw3ms
Esth 1:1	בִּ/ימֵ֣י	b/3117	HR/Ncmpc
Esth 1:1	אֲחַשְׁוֵר֑וֹשׁ	325	HNp
Esth 1:1	ה֣וּא	1931	HPp3ms
Esth 1:1	אֲחַשְׁוֵר֗וֹשׁ	325	HNp
Esth 1:1	הַ/מֹּלֵךְ֙	d/4427 a	HTd/Vqrmsa
Esth 1:1	מֵ/הֹ֣דּוּ	m/1912	HR/Np
Esth 1:1	וְ/עַד	c/5704	HC/R
Esth 1:1	כּ֔וּשׁ	3568 a	HNp
Esth 1:1	שֶׁ֛בַע	7651	HAcfsa
Esth 1:1	וְ/עֶשְׂרִ֥ים	c/6242	HC/Acbpa
Esth 1:1	וּ/מֵאָ֖ה	c/3967	HC/Acbsa
Esth 1:1	מְדִינָֽה	4082	HNcfsa
Esth 1:2	בַּ/יָּמִ֖ים	b/3117	HRd/Ncmpa
Esth 1:2	הָ/הֵ֑ם	d/1992	HTd/Pp3mp
Esth 1:2	כְּ/שֶׁ֣בֶת	k/3427	HR/Vqc
Esth 1:2	הַ/מֶּ֣לֶךְ	d/4428	HTd/Ncmsa
Esth 1:2	אֲחַשְׁוֵר֗וֹשׁ	325	HNp
Esth 1:2	עַ֚ל	5921 a	HR
Esth 1:2	כִּסֵּ֣א	3678	HNcmsc
Esth 1:2	מַלְכוּת֔/וֹ	4438	HNcfsc/Sp3ms
Esth 1:2	אֲשֶׁ֖ר	834 a	HTr
Esth 1:2	בְּ/שׁוּשַׁ֥ן	b/7800	HR/Np
Esth 1:2	הַ/בִּירָֽה	d/1002	HTd/Ncfsa
Esth 1:3	בִּ/שְׁנַ֤ת	b/8141	HR/Ncfsc
Esth 1:3	שָׁלוֹשׁ֙	7969	HAcfsa
Esth 1:3	לְ/מָלְכ֔/וֹ	l/4427 a	HR/Vqc/Sp3ms
Esth 1:3	עָשָׂ֣ה	6213 a	HVqp3ms
Esth 1:3	מִשְׁתֶּ֔ה	4960	HNcmsa
Esth 1:3	לְ/כָל	l/3605	HR/Ncmsc
Esth 1:3	שָׂרָ֖י/ו	8269	HNcmpc/Sp3ms
Esth 1:3	וַ/עֲבָדָ֑י/ו	c/5650	HC/Ncmpc/Sp3ms
Esth 1:3	חֵ֣יל	2428	HNcmsc
Esth 1:3	פָּרַ֣ס	6539	HNp
Esth 1:3	וּ/מָדַ֗י	c/4074	HC/Np
Esth 1:3	הַֽ/פַּרְתְּמִ֛ים	d/6579	HTd/Ncmpa
Esth 1:3	וְ/שָׂרֵ֥י	c/8269	HC/Ncmpc
Esth 1:3	הַ/מְּדִינ֖וֹת	d/4082	HTd/Ncfpa
Esth 1:3	לְ/פָנָֽי/ו	l/6440	HR/Ncbpc/Sp3ms
Esth 1:4	בְּ/הַרְאֹת֗/וֹ	b/7200	HR/Vhc/Sp3ms
Esth 1:4	אֶת	853	HTo
Esth 1:4	עֹ֨שֶׁר֙	6239	HNcmsc
Esth 1:4	כְּב֣וֹד	3519	HNcbsc
Esth 1:4	מַלְכוּת֔/וֹ	4438	HNcfsc/Sp3ms
Esth 1:4	וְ/אֶ֨ת	c/853	HC/To
Esth 1:4	יְקָ֔ר	3366	HNcmsc
Esth 1:4	תִּפְאֶ֖רֶת	8597	HNcfsc
Esth 1:4	גְּדוּלָּת֑/וֹ	1420	HNcfsc/Sp3ms
Esth 1:4	יָמִ֣ים	3117	HNcmpa
Esth 1:4	רַבִּ֔ים	7227 a	HAampa
Esth 1:4	שְׁמוֹנִ֥ים	8084	HAcbpa
Esth 1:4	וּ/מְאַ֖ת	c/3967	HC/Acbsc
Esth 1:4	יֽוֹם	3117	HNcmsa
Esth 1:5	וּ/בִ/מְל֣וֹאת	c/b/4390	HC/R/Vqc
Esth 1:5	הַ/יָּמִ֣ים	d/3117	HTd/Ncmpa
Esth 1:5	הָ/אֵ֗לֶּה	d/428	HTd/Pdxcp
Esth 1:5	עָשָׂ֣ה	6213 a	HVqp3ms
Esth 1:5	הַ/מֶּ֡לֶךְ	d/4428	HTd/Ncmsa
Esth 1:5	לְ/כָל	l/3605	HR/Ncmsc
Esth 1:5	הָ/עָ֣ם	d/5971 a	HTd/Ncmsa
Esth 1:5	הַ/נִּמְצְאִים֩	d/4672	HTd/VNrmpa
Esth 1:5	בְּ/שׁוּשַׁ֨ן	b/7800	HR/Np
