ref	word	lemma	morph
Dan 1:1	בִּ/שְׁנַ֣ת	b/8141	HR/Ncfsc
Dan 1:1	שָׁל֔וֹשׁ	7969	HAcfsa
Dan 1:1	לְ/מַלְכ֖וּת	l/4438	HR/Ncfsc
Dan 1:1	יְהוֹיָקִ֣ים	3079	HNp
Dan 1:1	מֶֽלֶךְ	4428	HNcmsc
Dan 1:1	יְהוּדָ֑ה	3063	HNp
Dan 1:1	בָּ֣א	935	HVqp3ms
Dan 1:1	נְבוּכַדְנֶאצַּ֧ר	5019	HNp
Dan 1:1	מֶֽלֶךְ	4428	HNcmsc
Dan 1:1	בָּבֶ֛ל	894	HNp
Dan 1:1	יְרוּשָׁלִַ֖ם	3389	HNp
Dan 1:1	וַ/יָּ֥צַר	c/6696 a	HC/Vqw3ms
Dan 1:1	עָלֶֽי/הָ	5921 a	HR/Sp3fs
Dan 1:2	וַ/יִּתֵּן֩	c/5414	HC/Vqw3ms
Dan 1:2	אֲדֹנָ֨/י	136	HNcmpc/Sp1cs
Dan 1:2	בְּ/יָד֜/וֹ	b/3027	HR/Ncbsc/Sp3ms
Dan 1:2	אֶת	853	HTo
Dan 1:2	יְהוֹיָקִ֣ים	3079	HNp
Dan 1:2	מֶֽלֶךְ	4428	HNcmsc
Dan 1:2	יְהוּדָ֗ה	3063	HNp
Dan 1:2	וּ/מִ/קְצָת֙	c/m/7117	HC/R/Ncfsc
Dan 1:2	כְּלֵ֣י	3627	HNcmpc
Dan 1:2	בֵית	1004 b	HNcmsc
Dan 1:2	הָֽ/אֱלֹהִ֔ים	d/430	HTd/Ncmpa
Dan 1:2	וַ/יְבִיאֵ֥/ם	c/935	HC/Vhw3ms/Sp3mp
Dan 1:2	אֶֽרֶץ	776	HNcbsc
Dan 1:2	שִׁנְעָ֖ר	8152	HNp
Dan 1:2	בֵּ֣ית	1004 b	HNcmsc
Dan 1:2	אֱלֹהָ֑י/ו	430	HNcmpc/Sp3ms
Dan 1:2	וְ/אֶת	c/853	HC/To
Dan 1:2	הַ/כֵּלִ֣ים	d/3627	HTd/Ncmpa
Dan 1:2	הֵבִ֔יא	935	HVhp3ms
Dan 1:2	בֵּ֖ית	1004 b	HNcmsc
Dan 1:2	אוֹצַ֥ר	214	HNcmsc
Dan 1:2	אֱלֹהָֽי/ו	430	HNcmpc/Sp3ms
Dan 1:3	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
Dan 1:3	הַ/מֶּ֔לֶךְ	d/4428	HTd/Ncmsa
Dan 1:3	לְ/אַשְׁפְּנַ֖ז	l/828	HR/Np
Dan 1:3	רַ֣ב	7227 b	HNcmsc
