ref	word	lemma	morph
Ezra 1:1	וּ/בִ/שְׁנַ֣ת	c/b/8141	HC/R/Ncfsc
Ezra 1:1	אַחַ֗ת	259	HAcfsa
Ezra 1:1	לְ/כ֨וֹרֶשׁ֙	l/3566	HR/Np
Ezra 1:1	מֶ֣לֶךְ	4428	HNcmsc
Ezra 1:1	פָּרַ֔ס	6539	HNp
Ezra 1:1	לִ/כְל֥וֹת	l/3615	HR/Vqc
Ezra 1:1	דְּבַר	1697	HNcmsc
Ezra 1:1	יְהוָ֖ה	3068	HNp
Ezra 1:1	מִ/פִּ֣י	m/6310	HR/Ncmsc
Ezra 1:1	יִרְמְיָ֑ה	3414	HNp
Ezra 1:1	הֵעִ֣יר	5782	HVhp3ms
Ezra 1:1	יְהוָ֗ה	3068	HNp
Ezra 1:1	אֶת	853	HTo
Ezra 1:1	ר֨וּחַ֙	7307	HNcbsc
Ezra 1:1	כֹּ֣רֶשׁ	3566	HNp
Ezra 1:1	מֶֽלֶךְ	4428	HNcmsc
Ezra 1:1	פָּרַ֔ס	6539	HNp
Ezra 1:1	וַ/יַּֽעֲבֶר	c/5674 a	HC/Vhw3ms
Ezra 1:1	קוֹל֙	6963 a	HNcmsa
Ezra 1:1	בְּ/כָל	b/3605	HR/Ncmsc
Ezra 1:1	מַלְכוּת֔/וֹ	4438	HNcfsc/Sp3ms
Ezra 1:1	וְ/גַם	c/1571	HC/Ta
Ezra 1:1	בְּ/מִכְתָּ֖ב	b/4385	HR/Ncmsa
Ezra 1:1	לֵ/אמֹֽר	l/559	HR/Vqc
Ezra 1:2	כֹּ֣ה	3541	HD
Ezra 1:2	אָמַ֗ר	559	HVqp3ms
Ezra 1:2	כֹּ֚רֶשׁ	3566	HNp
Ezra 1:2	מֶ֣לֶךְ	4428	HNcmsc
Ezra 1:2	פָּרַ֔ס	6539	HNp
Ezra 1:2	כֹּ֚ל	3605	HNcmsc
Ezra 1:2	מַמְלְכ֣וֹת	4467	HNcfpc
Ezra 1:2	הָ/אָ֔רֶץ	d/776	HTd/Ncbsa
Ezra 1:2	נָ֣תַן	5414	HVqp3ms
Ezra 1:2	לִ֔/י	l	HR/Sp1cs
Ezra 1:2	יְהוָ֖ה	3068	HNp
Ezra 1:2	אֱלֹהֵ֣י	430	HNcmpc
Ezra 1:2	הַ/שָּׁמָ֑יִם	d/8064	HTd/Ncmpa
Ezra 1:2	וְ/הֽוּא	c/1931	HC/Pp3ms
Ezra 1:2	פָקַ֤ד	6485 a	HVqp3ms
Ezra 1:2	עָלַ/י֙	5921 a	HR/Sp1cs
Ezra 1:2	לִ/בְנֽוֹת	l/1129	HR/Vqc
Ezra 1:2	ל֣/וֹ	l	HR/Sp3ms
Ezra 1:2	בַ֔יִת	1004 b	HNcmsa
Ezra 1:2	בִּ/ירוּשָׁלִַ֖ם	b/3389	HR/Np
Ezra 1:2	אֲשֶׁ֥ר	834 a	HTr
Ezra 1:2	בִּֽ/יהוּדָֽה	b/3063	HR/Np
Ezra 1:3	מִֽי	4310	HTi
Ezra 1:3	בָ/כֶ֣ם	b	HR/Sp2mp
Ezra 1:3	מִ/כָּל	m/3605	HR/Ncmsc
Ezra 1:3	עַמּ֗/וֹ	5971 a	HNcmsc/Sp3ms
Ezra 1:3	יְהִ֤י	1961	HVqj3ms
Ezra 1:3	אֱלֹהָי/ו֙	430	HNcmpc/Sp3ms
Ezra 1:3	עִמּ֔/וֹ	5973 a	HR/Sp3ms
Ezra 1:3	וְ/יַ֕עַל	c/5927	HC/Vqj3ms
Ezra 1:3	לִ/ירוּשָׁלִַ֖ם	l/3389	HR/Np
Ezra 1:3	אֲשֶׁ֣ר	834 a	HTr
Ezra 1:3	בִּ/יהוּדָ֑ה	b/3063	HR/Np
Ezra 1:3	וְ/יִ֗בֶן	c/1129	HC/Vqj3ms
Ezra 1:3	אֶת	853	HTo
Ezra 1:3	בֵּ֤ית	1004 b	HNcmsc
Ezra 1:3	יְהוָה֙	3068	HNp
Ezra 1:3	אֱלֹהֵ֣י	430	HNcmpc
Ezra 1:3	יִשְׂרָאֵ֔ל	3478	HNp
Ezra 1:3	ה֥וּא	1931	HPp3ms
Ezra 1:3	הָ/אֱלֹהִ֖ים	d/430	HTd/Ncmpa
Ezra 1:3	אֲשֶׁ֥ר	834 a	HTr
