ref	word	lemma	morph
1Chr 1:1	אָדָ֥ם	121	HNp
1Chr 1:1	שֵׁ֖ת	8352	HNp
1Chr 1:1	אֱנֽוֹשׁ	583	HNp
1Chr 1:2	קֵינָ֥ן	7018	HNp
1Chr 1:2	מַהֲלַלְאֵ֖ל	4111	HNp
1Chr 1:2	יָֽרֶד	3382	HNp
1Chr 1:3	חֲנ֥וֹךְ	2585	HNp
1Chr 1:3	מְתוּשֶׁ֖לַח	4968	HNp
1Chr 1:3	לָֽמֶךְ	3929	HNp
1Chr 1:4	נֹ֥חַ	5146	HNp
1Chr 1:4	שֵׁ֖ם	8035	HNp
1Chr 1:4	חָ֥ם	2526	HNp
1Chr 1:4	וָ/יָֽפֶת	c/3315	HC/Np
1Chr 1:5	בְּנֵ֣י	1121 a	HNcmpc
1Chr 1:5	יֶ֔פֶת	3315	HNp
1Chr 1:5	גֹּ֣מֶר	1586	HNp
1Chr 1:5	וּ/מָג֔וֹג	c/4031	HC/Np
1Chr 1:5	וּ/מָדַ֖י	c/4074	HC/Np
1Chr 1:5	וְ/יָוָ֣ן	c/3120	HC/Np
1Chr 1:5	וְ/תֻבָ֑ל	c/8422	HC/Np
1Chr 1:5	וּ/מֶ֖שֶׁךְ	c/4902	HC/Np
1Chr 1:5	וְ/תִירָֽס	c/8494	HC/Np
1Chr 1:6	וּ/בְנֵ֖י	c/1121 a	HC/Ncmpc
1Chr 1:6	גֹּ֑מֶר	1586	HNp
1Chr 1:6	אַשְׁכֲּנַ֥ז	813	HNp
1Chr 1:6	וְ/דִיפַ֖ת	c/7384 a	HC/Np
1Chr 1:6	וְ/תוֹגַרְמָֽה	c/8425	HC/Np
1Chr 1:7	וּ/בְנֵ֥י	c/1121 a	HC/Ncmpc
1Chr 1:7	יָוָ֖ן	3120	HNp
1Chr 1:7	אֱלִישָׁ֣ה	473	HNp
1Chr 1:7	וְ/תַרְשִׁ֑ישָׁ/ה	c/8659	HC/Np/Sh
1Chr 1:7	כִּתִּ֖ים	3794	HNp
1Chr 1:7	וְ/רוֹדָנִֽים	c/1721	HC/Np
1Chr 1:8	בְּנֵ֖י	1121 a	HNcmpc
1Chr 1:8	חָ֑ם	2526	HNp
1Chr 1:8	כּ֥וּשׁ	3568 a	HNp
1Chr 1:8	וּ/מִצְרַ֖יִם	c/4714	HC/Np
1Chr 1:8	פּ֥וּט	6316	HNp
1Chr 1:8	וּ/כְנָֽעַן	c/3667 a	HC/Np
1Chr 1:9	וּ/בְנֵ֣י	c/1121 a	HC/Ncmpc
1Chr 1:9	כ֔וּשׁ	3568 a	HNp
1Chr 1:9	סְבָא֙	5434	HNp
