ref	word	lemma	morph
2Chr 1:1	וַ/יִּתְחַזֵּ֛ק	c/2388	HC/Vtw3ms
2Chr 1:1	שְׁלֹמֹ֥ה	8010	HNp
2Chr 1:1	בֶן	1121 a	HNcmsc
2Chr 1:1	דָּוִ֖יד	1732	HNp
2Chr 1:1	עַל	5921 a	HR
2Chr 1:1	מַלְכוּת֑/וֹ	4438	HNcfsc/Sp3ms
2Chr 1:1	וַ/יהוָ֤ה	c/3068	HC/Np
2Chr 1:1	אֱלֹהָי/ו֙	430	HNcmpc/Sp3ms
2Chr 1:1	עִמּ֔/וֹ	5973 a	HR/Sp3ms
2Chr 1:1	וַֽ/יְגַדְּלֵ֖/הוּ	c/1431	HC/Vpw3ms/Sp3ms
2Chr 1:1	לְ/מָֽעְלָ/ה	l/4605	HR/D/Sd
2Chr 1:2	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
2Chr 1:2	שְׁלֹמֹ֣ה	8010	HNp
2Chr 1:2	לְ/כָל	l/3605	HR/Ncmsc
2Chr 1:2	יִשְׂרָאֵ֡ל	3478	HNp
2Chr 1:2	לְ/שָׂרֵי֩	l/8269	HR/Ncmpc
2Chr 1:2	הָ/אֲלָפִ֨ים	d/505	HTd/Acbpa
2Chr 1:2	וְ/הַ/מֵּא֜וֹת	c/d/3967	HC/Td/Acbpa
2Chr 1:2	וְ/לַ/שֹּֽׁפְטִ֗ים	c/l/8199	HC/Rd/Vqrmpa
2Chr 1:2	וּ/לְ/כֹ֛ל	c/l/3605	HC/R/Ncmsc
2Chr 1:2	נָשִׂ֥יא	5387 a	HNcmsa
2Chr 1:2	לְ/כָל	l/3605	HR/Ncmsc
2Chr 1:2	יִשְׂרָאֵ֖ל	3478	HNp
2Chr 1:2	רָאשֵׁ֥י	7218 a	HNcmpc
2Chr 1:2	הָ/אָבֽוֹת	d/1	HTd/Ncmpa
2Chr 1:3	וַ/יֵּלְכ֗וּ	c/3212	HC/Vqw3mp
2Chr 1:3	שְׁלֹמֹה֙	8010	HNp
2Chr 1:3	וְ/כָל	c/3605	HC/Ncmsc
2Chr 1:3	הַ/קָּהָ֣ל	d/6951	HTd/Ncmsa
2Chr 1:3	עִמּ֔/וֹ	5973 a	HR/Sp3ms
2Chr 1:3	לַ/בָּמָ֖ה	l/1116	HRd/Ncfsa
2Chr 1:3	אֲשֶׁ֣ר	834 a	HTr
2Chr 1:3	בְּ/גִבְע֑וֹן	b/1391	HR/Np
2Chr 1:3	כִּי	3588 a	HC
2Chr 1:3	שָׁ֣ם	8033	HD
2Chr 1:3	הָיָ֗ה	1961	HVqp3ms
2Chr 1:3	אֹ֤הֶל	168	HNcmsc
2Chr 1:3	מוֹעֵד֙	4150	HNcmsc
2Chr 1:3	הָֽ/אֱלֹהִ֔ים	d/430	HTd/Ncmpa
2Chr 1:3	אֲשֶׁ֥ר	834 a	HTr
2Chr 1:3	עָשָׂ֛ה	6213 a	HVqp3ms
2Chr 1:3	מֹשֶׁ֥ה	4872	HNp
2Chr 1:3	עֶֽבֶד	5650	HNcmsc
2Chr 1:3	יְהוָ֖ה	3068	HNp
2Chr 1:3	בַּ/מִּדְבָּֽר	b/4057 b	HRd/Ncmsa
2Chr 1:4	אֲבָ֗ל	61	HD
2Chr 1:4	אֲר֤וֹן	727	HNcbsc
2Chr 1:4	הָ/אֱלֹהִים֙	d/430	HTd/Ncmpa
2Chr 1:4	הֶעֱלָ֤ה	5927	HVhp3ms
2Chr 1:4	דָוִיד֙	1732	HNp
2Chr 1:4	מִ/קִּרְיַ֣ת	m/7157+	HR/Np
2Chr 1:4	יְעָרִ֔ים	7157	HNp
2Chr 1:4	בַּֽ/הֵכִ֥ין	b/3559 a	HRd/Vhp3ms
2Chr 1:4	ל֖/וֹ	l	HR/Sp3ms
2Chr 1:4	דָּוִ֑יד	1732	HNp
2Chr 1:4	כִּ֧י	3588 a	HC
2Chr 1:4	נָֽטָה	5186	HVqp3ms
2Chr 1:4	ל֛/וֹ	l	HR/Sp3ms
2Chr 1:4	אֹ֖הֶל	168	HNcmsa
2Chr 1:4	בִּ/ירוּשָׁלִָֽם	b/3389	HR/Np
2Chr 1:5	וּ/מִזְבַּ֣ח	c/4196	HC/Ncmsc
2Chr 1:5	הַ/נְּחֹ֗שֶׁת	d/5178 a	HTd/Ncfsa
2Chr 1:5	אֲשֶׁ֤ר	834 a	HTr
2Chr 1:5	עָשָׂה֙	6213 a	HVqp3ms
2Chr 1:5	בְּצַלְאֵל֙	1212	HNp
2Chr 1:5	בֶּן	1121 a	HNcmsc
2Chr 1:5	אוּרִ֣י	221	HNp
2Chr 1:5	בֶן	1121 a	HNcmsc
2Chr 1:5	ח֔וּר	2354	HNp
2Chr 1:5	שָׂ֕ם	7760 a	HVqp3ms
2Chr 1:5	לִ/פְנֵ֖י	l/6440	HR/Ncbpc
2Chr 1:5	מִשְׁכַּ֣ן	4908	HNcmsc
2Chr 1:5	יְהוָ֑ה	3068	HNp
2Chr 1:5	וַ/יִּדְרְשֵׁ֥/הוּ	c/1875	HC/Vqw3ms/Sp3ms
2Chr 1:5	שְׁלֹמֹ֖ה	8010	HNp
2Chr 1:5	וְ/הַ/קָּהָֽל	c/d/6951	HC/Td/Ncmsa
2Chr 1:6	וַ/יַּעַל֩	c/5927	HC/Vhw3ms
2Chr 1:6	שְׁלֹמֹ֨ה	8010	HNp
2Chr 1:6	שָׁ֜ם	8033	HD
2Chr 1:6	עַל	5921 a	HR
2Chr 1:6	מִזְבַּ֤ח	4196	HNcmsc
2Chr 1:6	הַ/נְּחֹ֨שֶׁת֙	d/5178 a	HTd/Ncfsa
2Chr 1:6	לִ/פְנֵ֣י	l/6440	HR/Ncbpc
2Chr 1:6	יְהוָ֔ה	3068	HNp
2Chr 1:6	אֲשֶׁ֖ר	834 a	HTr
2Chr 1:6	לְ/אֹ֣הֶל	l/168	HR/Ncmsc
2Chr 1:6	מוֹעֵ֑ד	4150	HNcmsa
2Chr 1:6	וַ/יַּ֧עַל	c/5927	HC/Vhw3ms
2Chr 1:6	עָלָ֛י/ו	5921 a	HR/Sp3ms
2Chr 1:6	עֹל֖וֹת	5930 a	HNcfpa
2Chr 1:6	אָֽלֶף	505	HAcbsa
2Chr 1:7	בַּ/לַּ֣יְלָה	b/3915	HRd/Ncmsa
2Chr 1:7	הַ/ה֔וּא	d/1931	HTd/Pp3ms
2Chr 1:7	נִרְאָ֥ה	7200	HVNp3ms
2Chr 1:7	אֱלֹהִ֖ים	430	HNcmpa
2Chr 1:7	לִ/שְׁלֹמֹ֑ה	l/8010	HR/Np
2Chr 1:7	וַ/יֹּ֣אמֶר	c/559	HC/Vqw3ms
2Chr 1:7	ל֔/וֹ	l	HR/Sp3ms
2Chr 1:7	שְׁאַ֖ל	7592	HVqv2ms
2Chr 1:7	מָ֥ה	4100	HTi
2Chr 1:7	אֶתֶּן	5414	HVqi1cs
2Chr 1:7	לָֽ/ךְ	l	HR/Sp2fs
2Chr 1:8	וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms
2Chr 1:8	שְׁלֹמֹה֙	8010	HNp
2Chr 1:8	לֵֽ/אלֹהִ֔ים	l/430	HR/Ncmpa
2Chr 1:8	אַתָּ֗ה	859 a	HPp2ms
2Chr 1:8	עָשִׂ֛יתָ	6213 a	HVqp2ms
2Chr 1:8	עִם	5973 a	HR
2Chr 1:8	דָּוִ֥יד	1732	HNp
2Chr 1:8	אָבִ֖/י	1	HNcmsc/Sp1cs
2Chr 1:8	חֶ֣סֶד	2617 a	HNcmsa
2Chr 1:8	גָּד֑וֹל	1419 a	HAamsa
2Chr 1:8	וְ/הִמְלַכְתַּ֖/נִי	c/4427 a	HC/Vhp2ms/Sp1cs
2Chr 1:8	תַּחְתָּֽי/ו	8478	HR/Sp3ms
2Chr 1:9	עַתָּה֙	6258	HD
2Chr 1:9	יְהוָ֣ה	3068	HNp
2Chr 1:9	אֱלֹהִ֔ים	430	HNcmpa
2Chr 1:9	יֵֽאָמֵן֙	539	HVNj3ms
2Chr 1:9	דְּבָ֣רְ/ךָ֔	1697	HNcmsc/Sp2ms
2Chr 1:9	עִ֖ם	5973 a	HR
2Chr 1:9	דָּוִ֣יד	1732	HNp
2Chr 1:9	אָבִ֑/י	1	HNcmsc/Sp1cs
2Chr 1:9	כִּ֤י	3588 a	HC
