# NIV84 1 Chronicles — converted from PDF (AGES Digital Library transcription of the New International Version, 1984 edition); source PDF pages 926-1002
1:1	Adam, Seth, Enosh,
1:2	Kenan, Mahalalel, Jared,
1:3	Enoch, Methuselah, Lamech, Noah.
1:4	The sons of Noah: [Septuagint; Hebrew does not have The sons of Noah:] Shem, Ham and Japheth.
1:5	The sons [Sons may mean descendants or successors or nations; also in verses 6-10, 17 and 20.] of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech and Tiras.
1:6	The sons of Gomer: Ashkenaz, Riphath [Many Hebrew manuscripts and Vulgate (see also Septuagint and Gen. 10:3); most Hebrew manuscripts Diphath] and Togarmah.
1:7	The sons of Javan: Elishah, Tarshish, the Kittim and the Rodanim.
1:8	The sons of Ham: Cush, Mizraim, [That is, Egypt; also in verse 11] Put and Canaan.
1:9	The sons of Cush: Seba, Havilah, Sabta, Raamah and Sabteca. The sons of Raamah: Sheba and Dedan.
1:10	Cush was the father [Father may mean ancestor or predecessor or founder; also in verses 11, 13, 18 and 20.] of Nimrod, who grew to be a mighty warrior on earth.
1:11	Mizraim was the father of the Ludites, Anamites, Lehabites, Naphtuhites,
1:12	Pathrusites, Casluhites (from whom the Philistines came) and Caphtorites.
1:13	Canaan was the father of Sidon his firstborn, [Or of the Sidonians, the foremost] and of the Hittites,
1:14	Jebusites, Amorites, Girgashites,
1:15	Hivites, Arkites, Sinites,
1:16	Arvadites, Zemarites and Hamathites.
1:17	The sons of Shem: Elam, Asshur, Arphaxad, Lud and Aram. The sons of Aram: [One Hebrew manuscript and some Septuagint manuscripts (see also Gen. 10:23); most Hebrew manuscripts do not have this line.] Uz, Hul, Gether and Meshech.
1:18	Arphaxad was the father of Shelah, and Shelah the father of Eber.
1:19	Two sons were born to Eber: One was named Peleg, [Peleg means division.] because in his time the earth was divided; his brother was named Joktan.
1:20	Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah,
1:21	Hadoram, Uzal, Diklah,
1:22	Obal, [Some Hebrew manuscripts and Syriac (see also Gen. 10:28); most Hebrew manuscripts Ebal] Abimael, Sheba,
1:23	Ophir, Havilah and Jobab. All these were sons of Joktan.
1:24	Shem, Arphaxad, [Hebrew; some Septuagint manuscripts Arphaxad, Cainan (see also note at Gen. 11:10)] Shelah,
1:25	Eber, Peleg, Reu,
1:26	Serug, Nahor, Terah
1:27	and Abram (that is, Abraham).
1:28	The sons of Abraham: Isaac and Ishmael.
1:29	These were their descendants: Nebaioth the firstborn of Ishmael, Kedar, Adbeel, Mibsam,
1:30	Mishma, Dumah, Massa, Hadad, Tema,
1:31	Jetur, Naphish and Kedemah. These were the sons of Ishmael.
1:32	The sons born to Keturah, Abraham’s concubine: Zimran, Jokshan, Medan, Midian, Ishbak and Shuah. The sons of Jokshan: Sheba and Dedan.
1:33	The sons of Midian: Ephah, Epher, Hanoch, Abida and Eldaah. All these were descendants of Keturah.
1:34	Abraham was the father of Isaac. The sons of Isaac: Esau and Israel.
1:35	The sons of Esau: Eliphaz, Reuel, Jeush, Jalam and Korah.
1:36	The sons of Eliphaz: Teman, Omar, Zepho, [Many Hebrew manuscripts, some Septuagint manuscripts and Syriac (see also Gen. 36:11); most Hebrew manuscripts Zephi] Gatam and Kenaz; by Timna: Amalek. [Some Septuagint manuscripts (see also Gen. 36:12); Hebrew Gatam, Kenaz, Timna and Amalek]
1:37	The sons of Reuel: Nahath, Zerah, Shammah and Mizzah.
1:38	The sons of Seir: Lotan, Shobal, Zibeon, Anah, Dishon, Ezer and Dishan.
1:39	The sons of Lotan: Hori and Homam. Timna was Lotan’s sister.
1:40	The sons of Shobal: Alvan, [Many Hebrew manuscripts and some Septuagint manuscripts (see also Gen. 36:23); most Hebrew manuscripts Alian] Manahath, Ebal, Shepho and Onam. The sons of Zibeon: Aiah and Anah.
